INDEX_COLUMN_x,IDX,name_x,address_x,postcode_x,company_x,job_x,phone_number_x,email_x,user_name_x,ip_address_x,credit_card_number_x,date_x,total_int_x,total_float_x,total_int1_x,total_int2_x,total_int3_x,INDEX_COLUMN_y,name_y,address_y,postcode_y,company_y,job_y,phone_number_y,email_y,user_name_y,ip_address_y,credit_card_number_y,date_y,total_int_y,total_float_y,total_int1_y,total_int2_y,total_int3_y
10,aa4a9ea03fcac15b5fc63c949ac34e7b0fd17906716ac3b8e58c599cdc5a52f0,김지아,충청남도 양양군 백제고분324로 (현우진면),70343,주김윤,기타 전문서비스 관리자,010-6257-6470,yeonghwan65@hanmail.net,ugim,192.168.240.218,4264520729171172722,2013-08-17,44,6.82776,964725,729,3155,10,김지아,충청남도 양양군 백제고분324로 (현우진면),70343,주김윤,기타 전문서비스 관리자,010-6257-6470,yeonghwan65@hanmail.net,ugim,192.168.240.218,4264520729171172722,2013-08-17,44,6.82776,964725,729,3155
11,53d453b0c08b6b38ae91515dc88d25fbecdd1d6001f022419629df844f8ba433,이영미,울산광역시 구로구 테헤란98가 (진우최동),99153,유한회사 정박김,관제사,053-083-1817,jiujang@gimhan.com,ecoe,172.27.101.26,30532344695826,1978-05-09,15,3.1,313476,14,3960,11,이영미,울산광역시 구로구 테헤란98가 (진우최동),99153,유한회사 정박김,관제사,053-083-1817,jiujang@gimhan.com,ecoe,172.27.101.26,30532344695826,1978-05-09,15,3.1,313476,14,3960
12,b3d17ebbe4f2b75d27b6309cfaae1487b667301a73951e7d523a039cd2dfe110,차성수,충청북도 광명시 도산대46길 (영일이읍),73287,권오김,대학 시간강사,061-939-7084,jeongunggim@dreamwiz.com,nosubin,192.168.90.26,630492361344,1986-03-04,52,6.714295642,891666,348,3692,12,차성수,충청북도 광명시 도산대46길 (영일이읍),73287,권오김,대학 시간강사,061-939-7084,jeongunggim@dreamwiz.com,nosubin,192.168.90.26,630492361344,1986-03-04,52,6.714295642,891666,348,3692
13,48caafb68583936afd0d78a7bfd7046d2492fad94f3c485915f74bb60128620d,김현정,부산광역시 구로구 봉은사길 (건우김김읍),87533,백김,캐드원,031-053-3575,fi@anbaggim.com,sanghogim,192.168.235.12,4388375294107172,2009-02-11,56,6.9018,420167,88,7007,13,김현정,부산광역시 구로구 봉은사길 (건우김김읍),87533,백김,캐드원,031-053-3575,fi@anbaggim.com,sanghogim,192.168.235.12,4388375294107172,2009-02-11,56,6.9018,420167,88,7007
14,c6863e1db9b396ed31a36988639513a1c73a065fab83681f4b77adb648fac3d6,오민서,경상남도 삼척시 학동237길,21218,주식회사 안강박,웹 및 멀티미디어 기획자,033-953-2977,gweonhyejin@yuhanhoesa.org,wgim,172.24.2.108,2228329723329863,2007-10-07,8,5.6005824,977988,938,2757,14,오민서,경상남도 삼척시 학동237길,21218,주식회사 안강박,웹 및 멀티미디어 기획자,033-953-2977,gweonhyejin@yuhanhoesa.org,wgim,172.24.2.108,2228329723329863,2007-10-07,8,5.6005824,977988,938,2757
15,c63c2d34ebe84032ad47b87af194fedd17dacf8222b2ea7f4ebfee3dd6db2dfb,김준호,경상북도 여주시 서초대6가,29793,오윤황,건축가 및 건축공학 기술자,054-880-5248,mjang@live.com,ijeongho,172.16.1.175,4335488202449364,2018-05-07,43,5.8019910517602,250371,220,4703,15,김준호,경상북도 여주시 서초대6가,29793,오윤황,건축가 및 건축공학 기술자,054-880-5248,mjang@live.com,ijeongho,172.16.1.175,4335488202449364,2018-05-07,43,5.8019910517602,250371,220,4703
16,17a3379984b560dc311bb921b7a46b28aa5cb495667382f887a44a7fdbca7a7a,김경숙,강원도 가평군 논현75로,78307,박임김,노점 및 이동 판매원,010-8200-4457,yeonghwanseo@naver.com,qgim,172.27.5.195,30484039453667,1988-07-01,90,3.86781,524706,651,3422,16,김경숙,강원도 가평군 논현75로,78307,박임김,노점 및 이동 판매원,010-8200-4457,yeonghwanseo@naver.com,qgim,172.27.5.195,30484039453667,1988-07-01,90,3.86781,524706,651,3422
17,69bfb918de05145fba9dcee9688dfb23f6115845885e48fa39945eebb99d8527,박상철,서울특별시 강북구 양재천길,22175,이김,전기 부품 및 제품제조 기계조작원,052-606-8631,gimbyeongceol@naver.com,gimdoyun,172.27.109.231,180082732654504,2011-03-25,23,5.268179,44893,265,8252,17,박상철,서울특별시 강북구 양재천길,22175,이김,전기 부품 및 제품제조 기계조작원,052-606-8631,gimbyeongceol@naver.com,gimdoyun,172.27.109.231,180082732654504,2011-03-25,23,5.268179,44893,265,8252
18,d2042d75a67922194c045da2600e1c92ff6d87e8fb6e0208606665f2d1dfa892,이도윤,전라남도 수원시 팔달구 테헤란0로 (춘자장김읍),56742,윤김,정부행정 관리자,070-0118-0887,dohyeonnam@gimgimjo.net,hyeonjunsong,10.197.196.97,180027965555498,2005-05-05,73,4.523,602374,784,4771,18,이도윤,전라남도 수원시 팔달구 테헤란0로 (춘자장김읍),56742,윤김,정부행정 관리자,070-0118-0887,dohyeonnam@gimgimjo.net,hyeonjunsong,10.197.196.97,180027965555498,2005-05-05,73,4.523,602374,784,4771
19,5790ac3d0b8ae8afc72c2c6fb97654f2b73651c328de0a3b74854ade562dd17a,이채원,울산광역시 강남구 역삼길 (진우김면),23165,윤배,금속가공관련 제어장치 조작원,055-287-0339,yeonghyigim@naver.com,seoyunheo,192.168.153.79,3535275771257892,2015-01-31,25,1.22787030123992,744226,489,2009,19,이채원,울산광역시 강남구 역삼길 (진우김면),23165,윤배,금속가공관련 제어장치 조작원,055-287-0339,yeonghyigim@naver.com,seoyunheo,192.168.153.79,3535275771257892,2015-01-31,25,1.22787030123992,744226,489,2009
20,7535d8f2d8c35d958995610f971287288ab5e8c82a3c4fdc2b6fb5d757a5b9f8,오미영,제주특별자치도 안산시 영동대로 (승현장김면),37772,송김심,감정평가 전문가,052-384-1095,zim@bagogang.com,cunjajin,192.168.71.92,6011206265491305,1996-09-06,17,4.29546088486804,75632,546,778,20,오미영,제주특별자치도 안산시 영동대로 (승현장김면),37772,송김심,감정평가 전문가,052-384-1095,zim@bagogang.com,cunjajin,192.168.71.92,6011206265491305,1996-09-06,17,4.29546088486804,75632,546,778
21,91a9ef3563010ea1af916083f9fb03a117d4d0d2a697f82368da1f737629f717,박상호,울산광역시 도봉구 도산대로 (정남손박면),5392,유한회사 김김박,웹 및 멀티미디어 기획자,070-5932-9572,vha@gimyugim.net,jihyeongim,10.124.225.98,503813196774,1972-04-06,20,2.7722,136820,712,8362,21,박상호,울산광역시 도봉구 도산대로 (정남손박면),5392,유한회사 김김박,웹 및 멀티미디어 기획자,070-5932-9572,vha@gimyugim.net,jihyeongim,10.124.225.98,503813196774,1972-04-06,20,2.7722,136820,712,8362
22,d23c1038532dc71d0a60a7fb3d330d7606b7520e9e5ee0ddcdb27ee1bd5bc0cd,조상현,전라남도 수원시 장안구 학동가 (숙자강리),14177,주식회사 황이고,일식 주방장 및 조리사,055-329-6010,seongjinho@coebagi.org,yujingim,192.168.218.26,676102329940,1981-09-03,34,2.63010912572,980836,355,5123,22,조상현,전라남도 수원시 장안구 학동가 (숙자강리),14177,주식회사 황이고,일식 주방장 및 조리사,055-329-6010,seongjinho@coebagi.org,yujingim,192.168.218.26,676102329940,1981-09-03,34,2.63010912572,980836,355,5123
23,8b807aa0505a00b3ef49e26a2ade8e31fcd6c700d1a3aeee971b49d73da8e8ff,류준영,세종특별자치시 중구 언주로 (수빈김김읍),15023,(유) 김,제분 및 도정 관련 기계 조작원,054-047-6891,yeongja61@gimgim.kr,minsujeong,10.19.159.154,4912214101027080,2013-08-03,84,4.5524,337743,502,170,23,류준영,세종특별자치시 중구 언주로 (수빈김김읍),15023,(유) 김,제분 및 도정 관련 기계 조작원,054-047-6891,yeongja61@gimgim.kr,minsujeong,10.19.159.154,4912214101027080,2013-08-03,84,4.5524,337743,502,170
24,fc8a9296208a0b281f84690423c5d77785e493f435e6292cc322840f543729d3,이승현,제주특별자치도 용인시 수지구 양재천가 (지훈박리),91397,유한회사 남,보조 교사 및 기타 교사,016-936-4202,minseog09@yuhanhoesa.com,eunseoyun,172.28.47.95,3532333320677889,1979-06-25,48,8.88611658854,617108,213,6204,24,이승현,제주특별자치도 용인시 수지구 양재천가 (지훈박리),91397,유한회사 남,보조 교사 및 기타 교사,016-936-4202,minseog09@yuhanhoesa.com,eunseoyun,172.28.47.95,3532333320677889,1979-06-25,48,8.88611658854,617108,213,6204
25,0b544d6d8da1d1af25318e97e0ac5f6bc70bba49919463dc0074ede01a49d381,김혜진,충청남도 청양군 오금00가,32244,한하,화물열차 차장 및 관련 종사원,019-615-2673,jeonghogim@live.com,yeongil72,192.168.68.232,4759174499019,2017-10-09,30,4.359423599,183488,180,7887,25,김혜진,충청남도 청양군 오금00가,32244,한하,화물열차 차장 및 관련 종사원,019-615-2673,jeonghogim@live.com,yeongil72,192.168.68.232,4759174499019,2017-10-09,30,4.359423599,183488,180,7887
26,869f2a98b0e3a6ea928ff0542330ea3c1e0ff8591801693350f1fc3f1e57e4c5,오성민,경상북도 부천시 원미구 삼성317길,35933,서김김,귀금속 및 보석 세공원,016-464-0907,seongmingim@yuhanhoesa.com,iseonghun,10.185.79.156,2247317457647334,1992-12-19,73,4.6171767954613,156765,988,1918,26,오성민,경상북도 부천시 원미구 삼성317길,35933,서김김,귀금속 및 보석 세공원,016-464-0907,seongmingim@yuhanhoesa.com,iseonghun,10.185.79.156,2247317457647334,1992-12-19,73,4.6171767954613,156765,988,1918
27,9c7568513b9c85e73f3650c8b00e3259501096ccee9d3dbdae6ff5e84aabe3af,이서윤,세종특별자치시 서구 학동길 (하은문면),17351,(유) 고,금속가공관련 제어장치 조작원,062-227-1140,sonminsu@live.com,gmun,192.168.145.142,4786770335657185,1992-07-12,43,3.312723539678,206867,726,169,27,이서윤,세종특별자치시 서구 학동길 (하은문면),17351,(유) 고,금속가공관련 제어장치 조작원,062-227-1140,sonminsu@live.com,gmun,192.168.145.142,4786770335657185,1992-07-12,43,3.312723539678,206867,726,169
28,6f5ea1c4acc7a563ea8cb3381a55f0183a2394d679ebb7db8312e047bbf87e0d,김옥자,광주광역시 영등포구 개포거리 (주원박박읍),72178,유한회사 김민이,인터넷 판매원,031-776-0104,yejibag@jusighoesa.com,seoyeongyun,172.22.106.233,6011901116437719,1987-04-12,29,3.26526662111,751341,633,1408,28,김옥자,광주광역시 영등포구 개포거리 (주원박박읍),72178,유한회사 김민이,인터넷 판매원,031-776-0104,yejibag@jusighoesa.com,seoyeongyun,172.22.106.233,6011901116437719,1987-04-12,29,3.26526662111,751341,633,1408
29,48a94846b2a7386432b90ad13bcf9c66f1efdd3a97e0e14968c262c412fe22c8,최미숙,부산광역시 광진구 테헤란653가,63737,박황,기타 채굴 및 토목 관련 종사자,02-3116-6294,gyeongjagim@yu.com,mhan,172.27.211.199,3506166771107655,2021-07-10,37,4.7868096073,753887,139,1888,29,최미숙,부산광역시 광진구 테헤란653가,63737,박황,기타 채굴 및 토목 관련 종사자,02-3116-6294,gyeongjagim@yu.com,mhan,172.27.211.199,3506166771107655,2021-07-10,37,4.7868096073,753887,139,1888
30,7c682dea8e934e04343374e3d25cd51edce9cbeb47f7034296052cb5cd6bed84,박민준,충청남도 수원시 장안구 잠실086거리,67403,장홍이,환경공학 시험원,062-304-1544,sugja35@live.com,jeongsuyu,10.141.153.118,3577602778261875,2006-02-16,70,7.82440184696,503395,924,2866,30,박민준,충청남도 수원시 장안구 잠실086거리,67403,장홍이,환경공학 시험원,062-304-1544,sugja35@live.com,jeongsuyu,10.141.153.118,3577602778261875,2006-02-16,70,7.82440184696,503395,924,2866
31,a4239ae1725466d26621f102d58c1541c84ff1142f4341c7b66be92e32396d45,김미경,충청북도 금산군 개포56거리,63370,(유) 이배김,화가 및 조각가,041-198-5240,hhong@hotmail.com,yeongjagim,172.25.223.169,3560877728197663,1999-05-31,70,6.7734495875,135832,863,2917,31,김미경,충청북도 금산군 개포56거리,63370,(유) 이배김,화가 및 조각가,041-198-5240,hhong@hotmail.com,yeongjagim,172.25.223.169,3560877728197663,1999-05-31,70,6.7734495875,135832,863,2917
32,078aa4687601ab09b1f7581014674b3bf1a3aa68b12c346d01024f1f5206f94b,조명숙,전라북도 고양시 일산서구 양재천4거리,94606,양노,소방관,070-3203-9931,hayuncoe@live.com,ujang,10.87.167.243,565352855797,1994-04-29,18,1.8,989340,897,7200,32,조명숙,전라북도 고양시 일산서구 양재천4거리,94606,양노,소방관,070-3203-9931,hayuncoe@live.com,ujang,10.87.167.243,565352855797,1994-04-29,18,1.8,989340,897,7200
33,ee13b7d4c8c0595dcabf6016290d65d8a50163569368db690595d5acaa5a168b,이은서,세종특별자치시 강남구 오금로 (예준류박면),55958,최박심,총무 사무원,02-7163-2841,yeongsig91@live.com,ogsun50,172.16.127.191,5226934106388330,1977-03-29,89,7.5179153356,577142,105,3634,33,이은서,세종특별자치시 강남구 오금로 (예준류박면),55958,최박심,총무 사무원,02-7163-2841,yeongsig91@live.com,ogsun50,172.16.127.191,5226934106388330,1977-03-29,89,7.5179153356,577142,105,3634
34,72f1ffa2d7a9c9d60c2369fffce54372eea054d567c77f8a518f4f4c06b3856a,양민수,전라북도 보령시 삼성거리,39095,(유) 진,방수공,063-653-3640,yeweon57@live.com,jeongsugbag,192.168.205.58,3531936899668690,2010-07-17,35,8.8348480912993,579240,467,7723,34,양민수,전라북도 보령시 삼성거리,39095,(유) 진,방수공,063-653-3640,yeweon57@live.com,jeongsugbag,192.168.205.58,3531936899668690,2010-07-17,35,8.8348480912993,579240,467,7723
35,5bd40f88c4a6b2c20256389878ec2b59515ca478eb3eb0f3673663273bcb639b,이정희,대구광역시 관악구 서초중앙2가 (영길서동),30732,최박,일식 주방장 및 조리사,062-150-0283,seoyeonjang@gimgimgim.com,gangjihun,10.246.38.70,374017131732846,1989-02-05,85,2.3193,473751,129,1156,35,이정희,대구광역시 관악구 서초중앙2가 (영길서동),30732,최박,일식 주방장 및 조리사,062-150-0283,seoyeonjang@gimgimgim.com,gangjihun,10.246.38.70,374017131732846,1989-02-05,85,2.3193,473751,129,1156
36,9777509ca199ac591368c5cfa9ef92b4879ff99098b7e34865172a5ea983542e,박지후,대전광역시 영등포구 개포9길,82863,유한회사 이,메이크업 아티스트 및 분장사,019-815-8578,qi@hotmail.com,jihyeon25,192.168.77.147,4089174202822820131,1993-07-11,32,1.6,302774,538,7559,36,박지후,대전광역시 영등포구 개포9길,82863,유한회사 이,메이크업 아티스트 및 분장사,019-815-8578,qi@hotmail.com,jihyeon25,192.168.77.147,4089174202822820131,1993-07-11,32,1.6,302774,538,7559
37,ca02485287fd4f05de9540613f8ba982e99080b66f8452024cb4c4cc3de7042e,우상훈,대전광역시 마포구 선릉로 (동현손김동),35708,주식회사 남박최,조경 기술자,064-730-4982,jinsangceol@nate.com,myeongjabag,192.168.6.138,6011217427807676,2004-05-20,21,2.548,937339,796,7333,37,우상훈,대전광역시 마포구 선릉로 (동현손김동),35708,주식회사 남박최,조경 기술자,064-730-4982,jinsangceol@nate.com,myeongjabag,192.168.6.138,6011217427807676,2004-05-20,21,2.548,937339,796,7333
38,014d020993865f93b80ec587e171554db5b45a1a46a9101510de52e148aa184f,이민수,광주광역시 양천구 서초중앙534로,61846,주식회사 권,매장계산원 및 요금정산원,033-049-7414,gimminseog@hotmail.com,nryu,172.25.30.230,676302486797,2011-12-24,5,6.8268,61486,726,7069,38,이민수,광주광역시 양천구 서초중앙534로,61846,주식회사 권,매장계산원 및 요금정산원,033-049-7414,gimminseog@hotmail.com,nryu,172.25.30.230,676302486797,2011-12-24,5,6.8268,61486,726,7069
39,f245ffb6352c8c101b0f9ed1187104f11e0a64622cc5da7082aef963dea5a83f,이정순,광주광역시 성동구 개포가,70691,유한회사 양윤한,재단사,070-9199-5605,gimseongmin@igim.com,wgim,172.31.128.252,180013458404477,2014-12-19,47,5.36,192631,420,4723,39,이정순,광주광역시 성동구 개포가,70691,유한회사 양윤한,재단사,070-9199-5605,gimseongmin@igim.com,wgim,172.31.128.252,180013458404477,2014-12-19,47,5.36,192631,420,4723
40,825e233a9d192f81d3f6780cb8e181af518054a8d9c83381882e573eed014df2,성유진,경기도 영동군 도산대로 (주원강마을),43974,주식회사 김최조,선박 및 열차 객실승무원,018-115-1689,yeongho40@ju.kr,geonucoe,192.168.8.0,349246481959228,1999-02-16,2,8.4044012040968,992662,839,9930,40,성유진,경기도 영동군 도산대로 (주원강마을),43974,주식회사 김최조,선박 및 열차 객실승무원,018-115-1689,yeongho40@ju.kr,geonucoe,192.168.8.0,349246481959228,1999-02-16,2,8.4044012040968,992662,839,9930
41,a13b6ab0bb26b7d8bf31628b3b524efade4ac5b02712a95210c0abda5148ec85,이정수,인천광역시 남구 테헤란56로,47982,(주) 유,가축 사육 종사원,064-725-5396,isim@gimgimgim.com,gumyeongsug,172.16.140.193,3582154296248987,1992-07-10,20,1.53021,262350,189,6670,41,이정수,인천광역시 남구 테헤란56로,47982,(주) 유,가축 사육 종사원,064-725-5396,isim@gimgimgim.com,gumyeongsug,172.16.140.193,3582154296248987,1992-07-10,20,1.53021,262350,189,6670
42,fe404abb6785bd17ac4c937c2837d3ad6d6ac1ed17e099a89a9c5e18d1e936fe,안영순,인천광역시 서초구 강남대가,24126,유한회사 안김고,재단사,031-049-7521,seungmini@yu.com,jieun17,192.168.254.33,213102843128007,2004-12-31,55,3.990801902757,251097,702,2991,42,안영순,인천광역시 서초구 강남대가,24126,유한회사 안김고,재단사,031-049-7521,seungmini@yu.com,jieun17,192.168.254.33,213102843128007,2004-12-31,55,3.990801902757,251097,702,2991
43,fe4597a9d0a16c51ab5c8224dae83f170b69cede0f1a7f40f447f163dcbf9295,이승현,전라남도 화천군 테헤란로 (지혜송면),11824,(주) 진박이,단열공,033-975-3622,minjun13@daum.net,jimin24,192.168.80.83,3549197444591974,2000-10-23,83,8.477,821030,639,1847,43,이승현,전라남도 화천군 테헤란로 (지혜송면),11824,(주) 진박이,단열공,033-975-3622,minjun13@daum.net,jimin24,192.168.80.83,3549197444591974,2000-10-23,83,8.477,821030,639,1847
44,f9d07093d0de736c8881640c3e55714bebd5faf5d6ebbfb41e486e1660c8fc0e,윤유진,서울특별시 성북구 언주로 (준영이읍),94644,김오조,기타 석유 및 화학물 가공장치 조작원,033-796-1124,seongsugweon@songnabag.kr,bagyejun,172.27.116.221,60435589829,2003-03-27,79,4.61,754216,675,8309,44,윤유진,서울특별시 성북구 언주로 (준영이읍),94644,김오조,기타 석유 및 화학물 가공장치 조작원,033-796-1124,seongsugweon@songnabag.kr,bagyejun,172.27.116.221,60435589829,2003-03-27,79,4.61,754216,675,8309
45,0528d31561cee040ee92e2857a2d71a373605b91da87d09ae5359a0689c45e6c,강숙자,울산광역시 노원구 언주6로,86400,(유) 권,떡제조원,033-979-4243,eunji47@live.com,coeogja,172.27.138.220,5121355391140184,1970-11-23,54,6.5916674382567,644873,565,7856,45,강숙자,울산광역시 노원구 언주6로,86400,(유) 권,떡제조원,033-979-4243,eunji47@live.com,coeogja,172.27.138.220,5121355391140184,1970-11-23,54,6.5916674382567,644873,565,7856
46,f7944ecca058c63c386de56353cddf278c98f3143bd4a00bb0b2015adb69ed39,박재현,광주광역시 북구 서초대8길,73554,류황이,조경원,043-066-5535,sujin10@ju.net,rbag,192.168.128.226,676317051057,1999-06-16,68,8.6433432,80466,435,167,46,박재현,광주광역시 북구 서초대8길,73554,류황이,조경원,043-066-5535,sujin10@ju.net,rbag,192.168.128.226,676317051057,1999-06-16,68,8.6433432,80466,435,167
47,7ff9543ea5b226aeb9dcbf13672c32e62623e70edc4177512b169ec4e39846ea,서영순,부산광역시 성동구 가락로,13860,장박,보건의료관련 관리자,018-750-2013,jihyeonbae@bagibag.kr,munhyeonju,172.24.102.183,4499641005257739601,1976-05-24,89,1.9,486879,416,1024,47,서영순,부산광역시 성동구 가락로,13860,장박,보건의료관련 관리자,018-750-2013,jihyeonbae@bagibag.kr,munhyeonju,172.24.102.183,4499641005257739601,1976-05-24,89,1.9,486879,416,1024
48,172e362eecb6dff98dbeb4a7c42367109c1b288ecf45ff271fb79acd352ba8f9,손예원,경상북도 당진시 가락44거리 (재호성김면),80314,주식회사 김,임상 심리사 및 기타 치료사,053-665-4550,ugim@nate.com,rbaeg,10.187.237.76,676268925341,1988-01-16,93,2.10966362,122420,999,6574,48,손예원,경상북도 당진시 가락44거리 (재호성김면),80314,주식회사 김,임상 심리사 및 기타 치료사,053-665-4550,ugim@nate.com,rbaeg,10.187.237.76,676268925341,1988-01-16,93,2.10966362,122420,999,6574
49,3cd00931dd1de5d07fcafb463ba5c4d95d31dca8a35480cac4a2beb771cb90df,김민서,서울특별시 성동구 삼성가 (영진서박마을),22419,김강,물품 이동 장비 설치 및 정비원,033-950-8165,myeongsughan@ju.kr,gimhyejin,10.190.126.46,2494563430101135,1986-04-01,80,4.948689677,631031,778,1059,49,김민서,서울특별시 성동구 삼성가 (영진서박마을),22419,김강,물품 이동 장비 설치 및 정비원,033-950-8165,myeongsughan@ju.kr,gimhyejin,10.190.126.46,2494563430101135,1986-04-01,80,4.948689677,631031,778,1059
50,b5d966eb0c2845953fab12c306c906a3561162262115c3b6fc19aead8d142157,전상호,전라남도 성남시 중원구 선릉가 (영진차권동),63748,김박,경량 철골공,042-169-5467,ieunji@yu.kr,yeongsughong,10.94.211.181,375390457136226,1985-11-05,15,5.710858517983,787433,893,842,50,전상호,전라남도 성남시 중원구 선릉가 (영진차권동),63748,김박,경량 철골공,042-169-5467,ieunji@yu.kr,yeongsughong,10.94.211.181,375390457136226,1985-11-05,15,5.710858517983,787433,893,842
