IDX,name,address,postcode,company,job,phone_number,email,user_name,ip_address,credit_card_number,date,total_int,total_float,total_int1,total_int2,total_int3
28,김옥자,광주광역시 영등포구 개포거리 (주원박박읍),72178,유한회사 김민이,인터넷 판매원,031-776-0104,yejibag@jusighoesa.com,seoyeongyun,172.22.106.233,6011901116437719,1987-04-12,29,3.26526662111,751341,633,1408
29,최미숙,부산광역시 광진구 테헤란653가,63737,박황,기타 채굴 및 토목 관련 종사자,02-3116-6294,gyeongjagim@yu.com,mhan,172.27.211.199,3506166771107655,2021-07-10,37,4.7868096073,753887,139,1888
30,박민준,충청남도 수원시 장안구 잠실086거리,67403,장홍이,환경공학 시험원,062-304-1544,sugja35@live.com,jeongsuyu,10.141.153.118,3577602778261875,2006-02-16,70,7.82440184696,503395,924,2866
31,김미경,충청북도 금산군 개포56거리,63370,(유) 이배김,화가 및 조각가,041-198-5240,hhong@hotmail.com,yeongjagim,172.25.223.169,3560877728197663,1999-05-31,70,6.7734495875,135832,863,2917
32,조명숙,전라북도 고양시 일산서구 양재천4거리,94606,양노,소방관,070-3203-9931,hayuncoe@live.com,ujang,10.87.167.243,565352855797,1994-04-29,18,1.8,989340,897,7200
33,이은서,세종특별자치시 강남구 오금로 (예준류박면),55958,최박심,총무 사무원,02-7163-2841,yeongsig91@live.com,ogsun50,172.16.127.191,5226934106388330,1977-03-29,89,7.5179153356,577142,105,3634
34,양민수,전라북도 보령시 삼성거리,39095,(유) 진,방수공,063-653-3640,yeweon57@live.com,jeongsugbag,192.168.205.58,3531936899668690,2010-07-17,35,8.8348480912993,579240,467,7723
35,이정희,대구광역시 관악구 서초중앙2가 (영길서동),30732,최박,일식 주방장 및 조리사,062-150-0283,seoyeonjang@gimgimgim.com,gangjihun,10.246.38.70,374017131732846,1989-02-05,85,2.3193,473751,129,1156
36,박지후,대전광역시 영등포구 개포9길,82863,유한회사 이,메이크업 아티스트 및 분장사,019-815-8578,qi@hotmail.com,jihyeon25,192.168.77.147,4089174202822820131,1993-07-11,32,1.6,302774,538,7559
37,우상훈,대전광역시 마포구 선릉로 (동현손김동),35708,주식회사 남박최,조경 기술자,064-730-4982,jinsangceol@nate.com,myeongjabag,192.168.6.138,6011217427807676,2004-05-20,21,2.548,937339,796,7333
38,이민수,광주광역시 양천구 서초중앙534로,61846,주식회사 권,매장계산원 및 요금정산원,033-049-7414,gimminseog@hotmail.com,nryu,172.25.30.230,676302486797,2011-12-24,5,6.8268,61486,726,7069
39,이정순,광주광역시 성동구 개포가,70691,유한회사 양윤한,재단사,070-9199-5605,gimseongmin@igim.com,wgim,172.31.128.252,180013458404477,2014-12-19,47,5.36,192631,420,4723
40,성유진,경기도 영동군 도산대로 (주원강마을),43974,주식회사 김최조,선박 및 열차 객실승무원,018-115-1689,yeongho40@ju.kr,geonucoe,192.168.8.0,349246481959228,1999-02-16,2,8.4044012040968,992662,839,9930
41,이정수,인천광역시 남구 테헤란56로,47982,(주) 유,가축 사육 종사원,064-725-5396,isim@gimgimgim.com,gumyeongsug,172.16.140.193,3582154296248987,1992-07-10,20,1.53021,262350,189,6670
42,안영순,인천광역시 서초구 강남대가,24126,유한회사 안김고,재단사,031-049-7521,seungmini@yu.com,jieun17,192.168.254.33,213102843128007,2004-12-31,55,3.990801902757,251097,702,2991
43,이승현,전라남도 화천군 테헤란로 (지혜송면),11824,(주) 진박이,단열공,033-975-3622,minjun13@daum.net,jimin24,192.168.80.83,3549197444591974,2000-10-23,83,8.477,821030,639,1847
44,윤유진,서울특별시 성북구 언주로 (준영이읍),94644,김오조,기타 석유 및 화학물 가공장치 조작원,033-796-1124,seongsugweon@songnabag.kr,bagyejun,172.27.116.221,060435589829,2003-03-27,79,4.61,754216,675,8309
45,강숙자,울산광역시 노원구 언주6로,86400,(유) 권,떡제조원,033-979-4243,eunji47@live.com,coeogja,172.27.138.220,5121355391140184,1970-11-23,54,6.5916674382567,644873,565,7856
46,박재현,광주광역시 북구 서초대8길,73554,류황이,조경원,043-066-5535,sujin10@ju.net,rbag,192.168.128.226,676317051057,1999-06-16,68,8.6433432,80466,435,167
47,서영순,부산광역시 성동구 가락로,13860,장박,보건의료관련 관리자,018-750-2013,jihyeonbae@bagibag.kr,munhyeonju,172.24.102.183,4499641005257739601,1976-05-24,89,1.9,486879,416,1024
48,손예원,경상북도 당진시 가락44거리 (재호성김면),80314,주식회사 김,임상 심리사 및 기타 치료사,053-665-4550,ugim@nate.com,rbaeg,10.187.237.76,676268925341,1988-01-16,93,2.10966362,122420,999,6574
49,김민서,서울특별시 성동구 삼성가 (영진서박마을),22419,김강,물품 이동 장비 설치 및 정비원,033-950-8165,myeongsughan@ju.kr,gimhyejin,10.190.126.46,2494563430101135,1986-04-01,80,4.948689677,631031,778,1059
50,전상호,전라남도 성남시 중원구 선릉가 (영진차권동),63748,김박,경량 철골공,042-169-5467,ieunji@yu.kr,yeongsughong,10.94.211.181,375390457136226,1985-11-05,15,5.710858517983,787433,893,842
51,박상현,부산광역시 종로구 삼성9거리,83473,유한회사 송,배우 및 모델,063-227-7634,seongminsong@naver.com,ggim,10.217.86.198,180034229841722,2001-07-05,25,5.993064,613504,610,7230
52,김옥순,강원도 속초시 서초대길,56587,이강,전기 및 전자 설비 조작원,044-054-6024,acoe@daum.net,kheo,172.28.127.17,4426899609207561,2016-07-27,30,6.1415849355,387177,287,5510
53,강영호,인천광역시 강서구 백제고분거리 (경숙김박마을),59252,유한회사 류,방문 판매원,043-677-7388,gwagyeongjin@gmail.com,hyeonju75,172.25.43.139,213198557226052,2021-05-19,10,2.5019,865183,878,9402
54,조혜진,충청남도 보령시 학동9로,16863,김강,안마사,051-118-0793,omun@hanmail.net,sgim,192.168.86.139,3567237988124159,1993-03-08,9,5.1,963660,884,8699
55,권민서,인천광역시 강동구 잠실9거리 (영수송동),94493,유한회사 남,악기제조 및 조율사,011-847-0848,jiajang@daum.net,eheo,10.192.106.240,5414510102660781,1973-10-11,94,8.61473497330284,938271,350,3367
56,김현주,경기도 부천시 오정구 백제고분15거리 (은지백마을),15177,유한회사 이노박,떡제조원,043-622-5096,bgim@yu.kr,jicunja,192.168.99.74,4947372351048666,2007-10-05,23,5.3956432059013,798782,377,4122
57,김채원,전라북도 옥천군 석촌호수35가 (서영권이리),58471,최김이,섬유공학 기술자 및 연구원,031-697-3007,jihu33@jusighoesa.kr,ansubin,172.29.121.110,30043853953028,1974-12-21,60,2.323493,180813,186,6432
58,주영진,강원도 하남시 논현거리,42567,유한회사 문김김,번역가,017-160-7142,ugweon@dreamwiz.com,lgim,172.27.18.30,4294726513232,2013-10-30,97,5.97502391644856,76695,822,9396
59,김우진,대구광역시 광진구 서초중앙4길 (성호송읍),36104,류신,직조기 및 편직기 조작원,019-009-3579,geonu25@nate.com,jieungim,172.26.94.201,4431924235416866,1974-10-14,83,6.691459,237760,806,6739
60,최우진,경기도 김포시 학동83거리 (정호허이리),95074,김이김,기타 목재 및 종이 관련 기계조작원,011-217-9356,eunjeong13@ryugim.kr,eunjeongi,172.20.52.220,564337516251,1981-07-23,56,8.3,141760,525,235
61,김상훈,대전광역시 서대문구 가락8가 (보람김안읍),35119,주차,건축 석공,011-692-9731,seonghun87@gimjoryu.com,useong,172.23.114.229,4510378238095,1999-10-02,50,4.48220859252,394946,904,1466
62,최재현,인천광역시 강북구 강남대거리,28078,주식회사 오,무역 사무원,070-4333-6520,sunogno@ju.com,bagyeeun,10.97.45.19,4199453323236301,1995-04-12,76,1.803849071087,410353,504,6390
63,박수민,제주특별자치도 철원군 영동대2로,30439,김이,기타 목재 및 종이 관련 기계조작원,019-400-0413,jiminbag@yuhanhoesa.com,jcoe,10.138.189.98,213145874639038,1996-10-14,20,6.36571736,451284,663,5526
64,김명숙,인천광역시 서대문구 영동대로 (서윤이읍),74799,유한회사 서,무용가 및 안무가,031-731-2428,eungyeong38@hanmail.net,hyeonjuni,192.168.88.198,4471660608893,2019-10-25,45,5.197938283,661931,548,270
65,이서영,전라남도 철원군 백제고분38길 (은서권마을),44722,(유) 김,음식서비스관련 관리자,02-2345-3185,jaeho75@yuhanhoesa.com,hyeonjiha,192.168.169.167,38059548777020,1988-03-15,97,3.4345,545674,41,6164
66,김영희,부산광역시 동대문구 영동대거리 (건우김박면),11812,주식회사 이서김,변리사,041-282-0343,yeongsugbag@heohwangsong.com,gangseongmin,172.17.225.77,4773767777593022,2005-01-17,80,8.1430365316,665873,686,1535
67,이민재,대구광역시 광진구 논현904길,01740,김김,기타 섬유 및 가죽 관련 기능 종사원,044-929-1094,eunseo37@hotmail.com,hyeonjigim,172.22.21.10,346993786422393,1996-02-27,99,8.39041844774,292618,747,535
68,김하은,울산광역시 양천구 반포대434길 (하윤장마을),90558,김한김,환경 미화원 및 재활용품 수거원,062-853-8131,eungyeongjang@gmail.com,jiweoni,10.194.191.201,3515999916486389,2008-12-08,45,2.5,571569,204,7818
69,김유진,광주광역시 강남구 서초대로,25168,(주) 이안김,예능 강사,055-368-9476,seongjin23@igim.com,dmun,10.89.83.241,342884337947976,2001-03-13,44,3.16,380734,854,9806
70,최예진,서울특별시 성북구 잠실3길,99398,유한회사 김,선박 갑판승무원 및 관련 종사원,052-869-8854,myeongjagim@naver.com,junhoi,172.16.117.67,30158588433524,2004-07-13,90,1.93222811487,683106,891,2209
71,김은주,서울특별시 노원구 삼성로 (수민이동),02723,김김박,곡식작물 재배원,070-4835-9816,eunji74@yu.kr,migyeong01,172.25.99.1,30434746009708,2011-06-15,29,3.765977640782,299351,954,4998
72,노정웅,경상북도 서천군 개포774길,52971,(주) 김,웹 개발자,055-174-7682,cunja36@hanmail.net,gyeongsuhan,172.22.4.159,4083023606124521,2018-03-29,14,3.0,929010,336,4657
73,박경자,강원도 보령시 역삼7로,12118,최나,상/하수도 처리장치 조작원,011-259-1978,minjunbag@dreamwiz.com,iseohyeon,10.71.64.127,5168854941643964,2010-10-09,22,8.31356152,677551,618,7850
74,허성진,세종특별자치시 강남구 석촌호수가 (영일이리),75382,전이,물품이동 장비 조작원,041-561-7325,jeonghyigim@hotmail.com,hyeonsug69,172.18.235.79,3593652289113826,1975-02-09,65,1.2815758,726549,772,1439
75,류예진,울산광역시 동대문구 석촌호수가 (은경이동),97230,(유) 이,국악 및 전통예능인,011-296-6385,eunseo46@bagii.net,jiweon93,10.241.21.104,6517010689748509,1998-05-20,6,1.43493732594946,134381,190,8738
76,김도현,충청남도 파주시 봉은사632가 (병철고면),10893,(주) 윤,섬유공학 기술자 및 연구원,052-725-9249,gimhaeun@gmail.com,minjun99,10.221.136.6,4089851153246569558,1972-06-11,83,1.431535,317004,72,7834
77,최수진,전라북도 예산군 강남대6가,79417,유한회사 송김박,운송 사무원,053-386-4038,jeongsugim@daum.net,tgim,10.119.223.236,4966403235797,2015-09-14,50,4.27,164179,409,6415
78,서준서,충청남도 보령시 영동대4로 (춘자한장면),46299,이오황,화물차 및 특수차 운전원,031-061-2256,sumin31@live.com,jungsu25,10.37.24.95,180087675021637,1994-08-03,32,6.455,763768,705,9624
79,한예지,대전광역시 남구 강남대로,20269,윤안,출납창구 사무원,011-561-9586,zi@live.com,cgim,192.168.28.132,180028055397536,2009-12-17,81,6.394,281919,192,4064
80,장지현,충청북도 충주시 압구정거리 (진호전동),78855,김배,배우 및 모델,044-661-6402,yeongsungim@jangcoe.net,jiweonjang,192.168.50.51,4756049155404021410,2005-07-26,43,3.405816284335,645807,696,1571
81,김지원,경상남도 연천군 잠실로,49329,황이,인터넷 판매원,054-779-9595,eungyeonggim@yu.kr,haeunyang,172.25.216.249,4920044031778727774,2009-06-28,51,3.3,319188,200,8625
82,허상호,강원도 하남시 오금길 (예진이이리),49722,유한회사 차,기타 종교관련 종사자,017-012-3599,wgim@yu.org,ujang,192.168.67.1,343263044873974,1981-09-12,14,1.5715,674403,186,3958
83,이미경,울산광역시 서구 잠실가,37378,(유) 이,상담 전문가 및 청소년 지도사,052-107-8440,yejingim@daum.net,njin,172.30.171.34,372200057134401,2016-10-27,41,7.996759,422887,751,6498
84,김보람,경상남도 당진시 봉은사거리 (옥자이지마을),51856,주식회사 박,전기 및 전자 설비 조작원,054-264-8279,yunjieun@jusighoesa.com,mgang,192.168.110.114,4426703665996625466,1970-02-28,65,5.17499559306429,932172,371,178
85,권민석,울산광역시 노원구 강남대가 (수민이강읍),48547,진이,인사 및 교육/훈련 사무원,062-240-3006,jeongsig58@hwanggimgim.com,ryucaeweon,172.19.125.74,3514275439685141,1987-08-27,5,5.261754054,54901,89,6038
86,백서윤,경상남도 화천군 압구정로,42569,(유) 김,행사기획자,019-124-5100,sonjihyeon@live.com,sgim,10.69.75.227,3531564492365223,2007-08-30,24,7.4996084281,732554,686,6726
87,김혜진,제주특별자치도 시흥시 도산대가,48443,(주) 이김김,통신서비스판매원,010-5206-5882,ijeonghyi@hanicoe.org,junyeongyun,172.29.149.23,3573569406436076,1992-04-16,25,2.714351,466627,492,5893
88,김보람,충청남도 괴산군 테헤란9로 (유진최송읍),05490,주식회사 손박김,농업용 및 기타 기계장비 설치 및 정비원,064-769-5293,cajunyeong@yuhanhoesa.com,gimjongsu,192.168.38.88,4030439236300910142,2010-12-10,63,6.54737424,347182,229,4498
89,장현주,대구광역시 동대문구 오금435거리,95773,백배,발전 및 배전장치 조작원,019-490-1880,jangjihu@naver.com,xi,10.227.105.193,6011850601180336,1983-06-15,17,4.5,733545,750,1273
90,박예원,경기도 청주시 서원구 학동56로,54665,안이,성직자,018-047-6559,subini@hotmail.com,bagjunseo,10.32.61.64,30050065819178,1988-03-25,80,7.6,777314,209,2540
91,김재호,서울특별시 강동구 테헤란3로 (예준김이읍),49768,박이송,기타 건축마감관련 기능 종사원,041-888-1669,minjuni@yu.kr,juweonjang,10.16.41.5,4393219272143705,1986-06-26,75,4.47054043834748,732813,163,8766
92,김채원,대구광역시 마포구 논현로 (현정오최마을),68027,박손,보육 교사,016-918-2010,gwangsu24@coegimyun.com,gi,10.163.159.16,565313139406,1974-04-29,27,5.325038494,304112,394,5166
93,이우진,서울특별시 성동구 삼성2거리,79794,김엄임,인쇄기 조작원,033-616-5080,jieunseo@ju.kr,ujin97,172.27.58.188,586191910684,1995-10-09,12,8.9360772514,54479,323,704
94,이옥순,경기도 안양시 동안구 백제고분가 (민서이김리),16107,심김최,도금 및 금속분무기 조작원,064-743-3031,eunseoyu@naver.com,myeongjabag,192.168.105.93,3556783437496519,2015-10-06,96,7.612536251941,891209,382,9040
95,김경수,경상남도 수원시 장안구 삼성거리 (상훈강오읍),69800,주식회사 서,가축 사육 종사원,042-466-2452,ijiu@live.com,ogjai,192.168.48.82,6527676720790243,2020-02-10,3,3.110624,926094,130,2272
96,박은주,제주특별자치도 의정부시 압구정로 (영진차면),14355,김황,화물열차 차장 및 관련 종사원,062-491-4560,bagjeongsu@namjangheo.kr,ihayun,172.22.54.131,3581640814832295,1975-09-30,18,3.88804,48846,13,1321
97,장현우,서울특별시 마포구 학동744로,97220,주식회사 최,자동차 영업원,010-0871-7444,ijihye@igweongim.kr,eunyeong23,10.176.117.211,30301880277989,1970-03-23,34,4.943318378348,725853,301,8003
98,김지은,울산광역시 강북구 서초대거리,20191,김서신,경영 및 진단 전문가,017-930-5305,seoyun70@hanmail.net,hyeonjui,172.27.56.99,3546771131611643,2012-12-30,41,7.6,848129,977,8570
99,강성호,대전광역시 중구 언주2거리,07133,유한회사 최,연예인 및 스포츠 매니저,010-8219-1832,rjang@hanmail.net,seonyeong89,172.30.243.254,180099273647127,1975-03-16,51,7.30848,77063,386,2585
100,김지연,대구광역시 북구 역삼0가,09775,최김,영상/녹화 및 편집 기사,02-6404-8588,minjun78@yuhanhoesa.com,ogsunhan,172.16.237.129,213106298886373,1996-01-12,91,1.63,611961,707,5027
101,김정호,울산광역시 은평구 영동대가 (민지이이면),68215,박이,건축가 및 건축공학 기술자,02-4566-9858,ugim@coehancoe.kr,gyeongsu53,10.69.48.36,30450503050032,2020-11-25,3,7.45548,253873,522,5810
102,최정훈,경상남도 양평군 백제고분03가 (정식전동),79926,최한,외선전공,042-823-6477,junseo31@coegim.org,hyeonjun65,172.23.170.65,30104645571278,1980-06-11,1,1.511616055,136522,192,2366
103,최영길,대전광역시 동대문구 잠실길 (현우최박읍),92279,김이이,철근공,064-776-8162,jieun34@dreamwiz.com,ogsun80,172.29.242.12,4231342103984026,2017-08-08,54,1.127115366026,390715,774,769
104,박동현,인천광역시 동구 테헤란088길 (영숙김리),46834,주식회사 김진정,철로 설치 및 보수원,010-3448-7591,qi@gmail.com,jeongsug53,192.168.41.133,4504903830920839,2015-04-09,25,1.0,972844,89,4519
105,김옥순,대전광역시 광진구 석촌호수5가 (상훈이동),21076,김홍박,건설 배관공,053-580-4912,jeongsu19@coegimbag.net,nmun,192.168.128.147,347077418742235,1970-01-27,45,7.50182268646,568773,798,6516
106,안현우,광주광역시 광진구 석촌호수79거리,10739,(주) 김,항공기 정비원,018-675-9061,yejunbag@yuhanhoesa.org,yeonggilsin,192.168.126.192,3515789090151861,1991-08-10,51,2.24547912202987,834534,198,3310
107,강상철,인천광역시 도봉구 논현4거리 (성진홍면),03706,유한회사 구,배관 세정원 및 방역원,055-228-0953,minjunho@ju.com,gimcunja,192.168.58.203,6011622250774796,2007-10-03,91,7.63,488216,41,9981
108,김상훈,부산광역시 구로구 양재천814가 (승민한김읍),76595,김이박,경영 및 진단 전문가,02-7134-6218,gimjunhyeog@daum.net,gimyeongja,10.2.207.199,374742787423560,1987-12-20,34,6.5035,821096,51,3894
109,한민석,세종특별자치시 구로구 봉은사5길,37496,유한회사 최,여행 사무원,043-731-1139,fi@naver.com,jimin86,10.136.149.208,4793380163773624,1984-09-01,23,5.38072022670048,530828,940,512
110,김예원,강원도 계룡시 강남대가 (정순김이마을),90732,유한회사 김김김,조세행정 사무원,032-183-2280,jihyeon13@hotmail.com,qgim,172.19.78.236,4537942551034,2007-11-22,77,6.5879675,154619,606,9607
111,안유진,대전광역시 강남구 반포대길,71949,홍김,제품 및 광고 영업원,062-810-1716,imijeong@bagjoha.com,aneungyeong,172.24.155.157,213138257760943,2011-07-08,41,4.885,240095,694,6927
112,이명숙,경상북도 공주시 서초중앙2길 (성훈이안면),64034,류이,영양사,070-3045-0423,sugjaseo@imun.org,jaehyeon66,192.168.253.250,3563161494854998,2006-07-06,13,5.22569618106081,469095,72,1290
113,오예은,대구광역시 남구 언주4로,62316,김송박,인문과학 연구원,042-687-4110,yunsanghyeon@jeonggimna.com,wo,172.29.113.151,6011403472730548,1974-02-02,31,8.55013732569461,665564,339,6725
114,전지혜,세종특별자치시 금천구 강남대2길 (현우이양읍),56302,(유) 박양최,기타 스포츠 및 레크레이션 관련 전문가,063-196-5479,yeongsungim@live.com,bagseonghun,192.168.109.247,3522323234899325,1980-12-10,32,8.3248,380411,53,7739
115,이명자,광주광역시 구로구 봉은사거리,14337,(유) 이강손,시멘트 및 광물제품 제조기 조작원,064-720-8505,joogsun@ju.com,haeungim,10.140.190.100,4564577322568459,2012-06-25,19,3.815283,508978,15,8527
116,최보람,경기도 청주시 상당구 오금1로,12564,김나,귀금속 및 보석 세공원,062-008-0027,agim@jusighoesa.kr,bagjinho,10.192.134.158,6011186999777015,1976-03-02,72,2.93,70468,159,6657
117,손영일,인천광역시 동대문구 강남대길 (성훈김면),87868,박박김,예능 강사,042-796-2517,eunseo39@daum.net,jiagweon,10.56.125.248,347388377759213,2014-08-23,67,4.8026,156257,483,5197
118,홍정희,제주특별자치도 영동군 논현6가,83765,김허김,기타 채굴 및 토목 관련 종사자,051-869-4124,baghaeun@gmail.com,bagjeongung,192.168.251.107,4036258418300,1974-06-15,30,8.430188399148,249891,876,8813
119,곽재현,부산광역시 강서구 서초대0길,53439,오노송,조명기사 및 영사기사,010-9327-0279,boramgim@jusighoesa.com,bageunjeong,10.188.151.64,3568372387837181,1973-09-28,91,6.9844616656,13490,317,9620
120,한경희,경기도 춘천시 언주162거리 (예준박리),73140,민장,채소 및 특용작물 재배원,064-766-4741,ki@naver.com,yjang,172.21.183.181,4395410570675,2019-06-29,77,8.595252467,484375,863,1292
121,지지우,충청남도 횡성군 강남대9길 (예진강박면),07904,주식회사 임,직업상담사 및 취업 알선원,044-321-9511,josangho@baggweon.com,jihusong,192.168.52.96,375072826200228,2016-02-15,50,2.2457112483,294833,420,8741
122,박수빈,인천광역시 종로구 백제고분거리 (서연이리),10175,유한회사 강강김,신용 추심원,044-242-1980,qhwang@gmail.com,gyu,10.197.189.11,4954488494095665097,1971-03-06,37,6.5773949736,276208,462,3630
123,조영식,대전광역시 서구 봉은사99로,67228,유한회사 지송이,항공기 객실승무원,051-688-8604,jeongung52@bagyang.com,ljang,10.225.55.91,3538737155196282,2014-03-06,28,5.281759812,749293,143,9743
124,김지연,세종특별자치시 마포구 삼성6로,49035,차김,제화원,031-432-3532,ai@iseong.com,tbag,10.82.218.149,30481382024848,2008-10-26,89,1.2,648657,777,9593
125,윤정순,대전광역시 동구 압구정988가 (하윤장읍),83446,김황,촬영기사,064-777-6115,eungyeongjo@ju.kr,jangmisug,172.24.22.252,639073548120,1973-03-27,88,1.88,706967,355,333
126,김서영,전라북도 정선군 봉은사112거리,02695,박황,도배공 및 유리 부착원,016-038-1647,qgim@nate.com,iyeongsun,172.28.91.123,180075615615758,2004-02-27,48,1.508,917660,97,1072
